question_id,granularity,variant,query_used,hit_count,top_score,first_gold_alias_rank,first_evidence_page_rank,gold_alias_hit_count,evidence_page_hit_count,title_junk_count,title_junk_rate,overlap_with_title_only,matched_gold_ids_top_m,matched_evidence_refs_top_m
always_clear_depth_contributions,proposition,source_filtered,main contributions proposed framework adverse weather robust monocular depth estimation multi tuple degradation multi granularity knowledge distillation ordinal guidance,100,0.8992327451705933,2,2,3,28,78,0.78,0.06,"acdepth_framework,multi_tuple_degradation_dataset_generation,ordinal_guidance_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:multi_tuple_degradation_dataset_generation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p2:ordinal_guidance_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:acdepth_framework|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_granularity_knowledge_distillation|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:multi_tuple_degradation_dataset_generation
always_clear_depth_eval_datasets,chunk,original,Always Clear Depth 在哪些数据集上进行了实验评估？,100,0.7677690386772156,,,0,0,0,0.0,0.11,,
always_clear_depth_eval_datasets,chunk,title_only,Always Clear Depth Robust Monocular Depth Estimation Under Adverse Weather,100,0.9452598094940186,83,,1,0,0,0.0,1.0,nuscenes,
always_clear_depth_eval_datasets,chunk,content_only,evaluated datasets experiments benchmarks nuScenes RobotCar adverse weather test set,100,0.8307894468307495,1,,64,0,0,0.0,0.02,"nuscenes,robotcar",
always_clear_depth_eval_datasets,chunk,source_filtered,,0,,,,0,0,0,0.0,0.0,,
always_clear_depth_eval_datasets,sentence,original,Always Clear Depth 在哪些数据集上进行了实验评估？,100,0.7833865880966187,,,0,0,0,0.0,0.02,,
always_clear_depth_eval_datasets,sentence,title_only,Always Clear Depth Robust Monocular Depth Estimation Under Adverse Weather,100,0.9452598094940186,69,,1,0,0,0.0,1.0,nuscenes,
always_clear_depth_eval_datasets,sentence,content_only,evaluated datasets experiments benchmarks nuScenes RobotCar adverse weather test set,100,0.8469028472900391,2,,65,0,0,0.0,0.01,"nuscenes,robotcar",
always_clear_depth_eval_datasets,sentence,source_filtered,,0,,,,0,0,0,0.0,0.0,,
always_clear_depth_eval_datasets,proposition,original,Always Clear Depth 在哪些数据集上进行了实验评估？,100,0.7789459228515625,,1,0,11,98,0.98,0.0,,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar
always_clear_depth_eval_datasets,proposition,title_only,Always Clear Depth Robust Monocular Depth Estimation Under Adverse Weather,100,0.9754859209060669,,,0,0,0,0.0,1.0,,
always_clear_depth_eval_datasets,proposition,content_only,evaluated datasets experiments benchmarks nuScenes RobotCar adverse weather test set,100,0.8375518321990967,1,52,67,4,1,0.01,0.0,"nuscenes,robotcar",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar
always_clear_depth_eval_datasets,proposition,source_filtered,evaluated datasets experiments benchmarks nuScenes RobotCar adverse weather test set,73,0.8375518321990967,1,8,17,12,4,0.0547945205479452,0.0684931506849315,"nuscenes,robotcar",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:nuscenes|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:robotcar
always_clear_depth_ablation_components,chunk,original,Always Clear Depth 的消融实验验证了哪些组件？,100,0.784515380859375,20,,1,0,0,0.0,0.13,distillation_learning,
always_clear_depth_ablation_components,chunk,title_only,Always Clear Depth Robust Monocular Depth Estimation Under Adverse Weather,100,0.9452598094940186,,,0,0,0,0.0,1.0,,
always_clear_depth_ablation_components,chunk,content_only,ablation study components distillation learning ordinal guidance distillation feature consistency constraint,100,0.934785008430481,1,,24,0,0,0.0,0.0,"distillation_learning,feature_consistency_constraint,ordinal_guidance_distillation",
always_clear_depth_ablation_components,chunk,source_filtered,,0,,,,0,0,0,0.0,0.0,,
always_clear_depth_ablation_components,sentence,original,Always Clear Depth 的消融实验验证了哪些组件？,100,0.784515380859375,94,,1,0,0,0.0,0.04,distillation_learning,
always_clear_depth_ablation_components,sentence,title_only,Always Clear Depth Robust Monocular Depth Estimation Under Adverse Weather,100,0.9452598094940186,,,0,0,0,0.0,1.0,,
always_clear_depth_ablation_components,sentence,content_only,ablation study components distillation learning ordinal guidance distillation feature consistency constraint,100,0.9629539847373962,1,,28,0,0,0.0,0.0,"distillation_learning,feature_consistency_constraint,ordinal_guidance_distillation",
always_clear_depth_ablation_components,sentence,source_filtered,,0,,,,0,0,0,0.0,0.0,,
always_clear_depth_ablation_components,proposition,original,Always Clear Depth 的消融实验验证了哪些组件？,100,0.7818707823753357,,11,0,11,96,0.96,0.02,,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:distillation_learning|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:feature_consistency_constraint|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:ordinal_guidance_distillation
always_clear_depth_ablation_components,proposition,title_only,Always Clear Depth Robust Monocular Depth Estimation Under Adverse Weather,100,0.9754859209060669,,4,0,2,0,0.0,1.0,,Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:distillation_learning|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:feature_consistency_constraint|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:ordinal_guidance_distillation
always_clear_depth_ablation_components,proposition,content_only,ablation study components distillation learning ordinal guidance distillation feature consistency constraint,100,0.9252800345420837,1,2,48,7,0,0.0,0.0,"distillation_learning,feature_consistency_constraint,ordinal_guidance_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:distillation_learning|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:feature_consistency_constraint|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:ordinal_guidance_distillation
always_clear_depth_ablation_components,proposition,source_filtered,ablation study components distillation learning ordinal guidance distillation feature consistency constraint,90,0.8761448264122009,1,1,35,13,1,0.011111111111111112,0.0,"distillation_learning,feature_consistency_constraint,ordinal_guidance_distillation",Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:distillation_learning|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:feature_consistency_constraint|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:ordinal_guidance_distillation
always_clear_depth_sota_comparison_methods,chunk,original,Always Clear Depth 在 Comparison with SoTAs 中与哪些方法进行了比较？,100,0.7887682914733887,23,,4,0,0,0.0,0.06,"adids,md4all_dd,rnw,wsgd",
always_clear_depth_sota_comparison_methods,chunk,title_only,Always Clear Depth Robust Monocular Depth Estimation Under Adverse Weather,100,0.9452598094940186,3,,15,0,0,0.0,1.0,"md4all_dd,monodepth2",
always_clear_depth_sota_comparison_methods,chunk,content_only,comparison with state of the art baselines Monodepth2 PackNet SfM RNW md4all DMMDE DefeatNet ADIDS WSGD,100,0.8002870678901672,1,,49,0,0,0.0,0.0,"adids,md4all_ad,md4all_dd,monodepth2,packnet_sfm,rnw,wsgd",
always_clear_depth_sota_comparison_methods,chunk,source_filtered,,0,,,,0,0,0,0.0,0.0,,
always_clear_depth_sota_comparison_methods,sentence,original,Always Clear Depth 在 Comparison with SoTAs 中与哪些方法进行了比较？,100,0.7654345035552979,66,,3,0,0,0.0,0.02,"dmmde,md4all_dd,monodepth2",
always_clear_depth_sota_comparison_methods,sentence,title_only,Always Clear Depth Robust Monocular Depth Estimation Under Adverse Weather,100,0.9452598094940186,4,,9,0,0,0.0,1.0,md4all_dd,
always_clear_depth_sota_comparison_methods,sentence,content_only,comparison with state of the art baselines Monodepth2 PackNet SfM RNW md4all DMMDE DefeatNet ADIDS WSGD,100,0.8002870082855225,1,,56,0,0,0.0,0.0,"md4all_dd,monodepth2,packnet_sfm,rnw,wsgd",
always_clear_depth_sota_comparison_methods,sentence,source_filtered,,0,,,,0,0,0,0.0,0.0,,
always_clear_depth_sota_comparison_methods,proposition,original,Always Clear Depth 在 Comparison with SoTAs 中与哪些方法进行了比较？,100,0.7869372963905334,14,1,4,12,24,0.24,0.06,"adids,dmmde,md4all_dd,monodepth2,rnw","Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:comparison_scope|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:monodepth2,packnet_sfm,rnw,md4all_ad,md4all_dd,dmmde|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:monodepth2,defeatnet,adids,rnw,wsgd,md4all_dd,dmmde"
always_clear_depth_sota_comparison_methods,proposition,title_only,Always Clear Depth Robust Monocular Depth Estimation Under Adverse Weather,100,0.9754859209060669,8,4,92,2,0,0.0,1.0,md4all_dd,"Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:monodepth2,defeatnet,adids,rnw,wsgd,md4all_dd,dmmde"
always_clear_depth_sota_comparison_methods,proposition,content_only,comparison with state of the art baselines Monodepth2 PackNet SfM RNW md4all DMMDE DefeatNet ADIDS WSGD,100,0.800573468208313,1,50,59,3,0,0.0,0.0,"adids,defeatnet,dmmde,md4all_dd,monodepth2,packnet_sfm,rnw,wsgd","Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:comparison_scope|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:monodepth2,packnet_sfm,rnw,md4all_ad,md4all_dd,dmmde|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:monodepth2,defeatnet,adids,rnw,wsgd,md4all_dd,dmmde"
always_clear_depth_sota_comparison_methods,proposition,source_filtered,comparison with state of the art baselines Monodepth2 PackNet SfM RNW md4all DMMDE DefeatNet ADIDS WSGD,28,0.7655972242355347,1,4,16,13,3,0.10714285714285714,0.0,"adids,defeatnet,dmmde,md4all_dd,monodepth2,packnet_sfm,rnw","Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:comparison_scope|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p5:monodepth2,packnet_sfm,rnw,md4all_ad,md4all_dd,dmmde|Always Clear Depth- Robust Monocular Depth Estimation Under Adverse Weather.pdf:p7:monodepth2,defeatnet,adids,rnw,wsgd,md4all_dd,dmmde"
