run_id,run_label,question_id,granularity,strategy,budget,top_k,context_tokens,retrieved_chunk_count,selected_chunk_count,answer_precision,answer_recall,answer_f1,retrieved_gold_recall,selected_gold_recall,retrieved_relevance_precision,selected_relevance_precision,token_efficiency,matched_gold_ids,retrieved_gold_ids,selected_gold_ids,details_path
qa_v1_chunk_always_clear_depth_sota_comparison_m_ask_baseline_none_e6eea5d28aef,qa_v1_chunk_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,chunk,baseline,500,50,487,50,7,0.0,0.0,0.0,0.4444444444444444,0.0,0.06,0.0,0.0,,"adids,md4all_dd,rnw,wsgd",,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_always_clear_depth_sota_comparison_m_ask_baseline_none_e6eea5d28aef.json
qa_v1_chunk_depthdark_ablation_components_ask_baseline_none_1283350945d9,qa_v1_chunk_depthdark_ablation_components,depthdark_ablation_components,chunk,baseline,500,50,487,50,7,0.5,0.5,0.5,1.0,0.5,0.1,0.14285714285714285,1.026694045174538,lldg,"lldg,llpeft",lldg,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_ablation_components_ask_baseline_none_1283350945d9.json
qa_v1_chunk_depthdark_ablation_components_ask_baseline_none_83454b8dacde,qa_v1_chunk_depthdark_ablation_components,depthdark_ablation_components,chunk,baseline,1500,50,1489,50,17,1.0,1.0,1.0,1.0,1.0,0.1,0.17647058823529413,0.671591672263264,"lldg,llpeft","lldg,llpeft","lldg,llpeft",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_ablation_components_ask_baseline_none_83454b8dacde.json
qa_v1_chunk_depthdark_ablation_components_ask_baseline_none_8fe155a99222,qa_v1_chunk_depthdark_ablation_components,depthdark_ablation_components,chunk,baseline,1000,50,999,50,14,0.6666666666666666,1.0,0.8,1.0,1.0,0.1,0.21428571428571427,0.8008008008008008,"lldg,llpeft","lldg,llpeft","lldg,llpeft",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_ablation_components_ask_baseline_none_8fe155a99222.json
qa_v1_chunk_depthdark_contributions_ask_baseline_none_84ae1f25baf3,qa_v1_chunk_depthdark_contributions,depthdark_contributions,chunk,baseline,1500,50,1497,50,18,0.75,0.42857142857142855,0.5454545454545454,0.7142857142857143,0.42857142857142855,0.36,0.8333333333333334,0.3643650938240116,"depthdark_model,low_light_data_generation,low_light_peft","depthdark_model,flare_simulation_module,low_light_data_generation,low_light_peft,noise_simulation_module","depthdark_model,low_light_data_generation,low_light_peft",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_contributions_ask_baseline_none_84ae1f25baf3.json
qa_v1_chunk_depthdark_contributions_ask_baseline_none_8dd2ad37990b,qa_v1_chunk_depthdark_contributions,depthdark_contributions,chunk,baseline,1000,50,976,50,11,0.75,0.42857142857142855,0.5454545454545454,0.7142857142857143,0.42857142857142855,0.36,0.8181818181818182,0.5588673621460507,"depthdark_model,low_light_data_generation,low_light_peft","depthdark_model,flare_simulation_module,low_light_data_generation,low_light_peft,noise_simulation_module","depthdark_model,low_light_data_generation,low_light_peft",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_contributions_ask_baseline_none_8dd2ad37990b.json
qa_v1_chunk_depthdark_contributions_ask_baseline_none_ec804571df48,qa_v1_chunk_depthdark_contributions,depthdark_contributions,chunk,baseline,500,50,479,50,6,0.75,0.42857142857142855,0.5454545454545454,0.7142857142857143,0.42857142857142855,0.36,0.8333333333333334,1.1387360030366294,"depthdark_model,low_light_data_generation,low_light_peft","depthdark_model,flare_simulation_module,low_light_data_generation,low_light_peft,noise_simulation_module","depthdark_model,low_light_data_generation,low_light_peft",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_contributions_ask_baseline_none_ec804571df48.json
qa_v1_chunk_depthdark_eval_datasets_ask_baseline_none_7216e1a7d871,qa_v1_chunk_depthdark_eval_datasets,depthdark_eval_datasets,chunk,baseline,500,50,472,50,6,0.5,1.0,0.6666666666666666,1.0,1.0,0.18,0.5,1.4124293785310735,"nuscenes_night,robotcar_night","nuscenes_night,robotcar_night","nuscenes_night,robotcar_night",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_eval_datasets_ask_baseline_none_7216e1a7d871.json
qa_v1_chunk_depthdark_eval_datasets_ask_baseline_none_83c4b01e5f27,qa_v1_chunk_depthdark_eval_datasets,depthdark_eval_datasets,chunk,baseline,1500,50,1457,50,17,0.5,1.0,0.6666666666666666,1.0,1.0,0.18,0.35294117647058826,0.45756119881034085,"nuscenes_night,robotcar_night","nuscenes_night,robotcar_night","nuscenes_night,robotcar_night",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_eval_datasets_ask_baseline_none_83c4b01e5f27.json
qa_v1_chunk_depthdark_eval_datasets_ask_baseline_none_f23de17619eb,qa_v1_chunk_depthdark_eval_datasets,depthdark_eval_datasets,chunk,baseline,1000,50,976,50,12,0.5,1.0,0.6666666666666666,1.0,1.0,0.18,0.5,0.6830601092896175,"nuscenes_night,robotcar_night","nuscenes_night,robotcar_night","nuscenes_night,robotcar_night",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_eval_datasets_ask_baseline_none_f23de17619eb.json
qa_v1_chunk_depthdark_sota_comparison_methods_ask_baseline_none_5d1c2591afe7,qa_v1_chunk_depthdark_sota_comparison_methods,depthdark_sota_comparison_methods,chunk,baseline,1000,50,998,50,14,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.32,0.21428571428571427,0.334001336005344,"depth_anything,depth_anything_v2","adds,depth_anything,depth_anything_v2,monoformer,monovit,tddc,wsgd","adds,depth_anything,depth_anything_v2",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_sota_comparison_methods_ask_baseline_none_5d1c2591afe7.json
qa_v1_chunk_depthdark_sota_comparison_methods_ask_baseline_none_ba889b742bd7,qa_v1_chunk_depthdark_sota_comparison_methods,depthdark_sota_comparison_methods,chunk,baseline,500,50,488,50,8,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.7777777777777778,0.2222222222222222,0.32,0.25,0.6830601092896175,"depth_anything,depth_anything_v2","adds,depth_anything,depth_anything_v2,monoformer,monovit,tddc,wsgd","depth_anything,depth_anything_v2",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_sota_comparison_methods_ask_baseline_none_ba889b742bd7.json
qa_v1_chunk_depthdark_sota_comparison_methods_ask_baseline_none_d013400cdcc5,qa_v1_chunk_depthdark_sota_comparison_methods,depthdark_sota_comparison_methods,chunk,baseline,1500,50,1473,50,19,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.32,0.21052631578947367,0.22629554197782303,"depth_anything,depth_anything_v2","adds,depth_anything,depth_anything_v2,monoformer,monovit,tddc,wsgd","adds,depth_anything,depth_anything_v2",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_sota_comparison_methods_ask_baseline_none_d013400cdcc5.json
qa_v1_chunk_depthdark_training_datasets_ask_baseline_none_2ead0f2e855a,qa_v1_chunk_depthdark_training_datasets,depthdark_training_datasets,chunk,baseline,500,50,472,50,6,0.0,0.0,0.0,1.0,1.0,0.08,0.16666666666666666,0.0,,"hypersim,virtual_kitti","hypersim,virtual_kitti",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_training_datasets_ask_baseline_none_2ead0f2e855a.json
qa_v1_chunk_depthdark_training_datasets_ask_baseline_none_a1402bdb8781,qa_v1_chunk_depthdark_training_datasets,depthdark_training_datasets,chunk,baseline,1000,50,977,50,12,0.0,0.0,0.0,1.0,1.0,0.08,0.08333333333333333,0.0,,"hypersim,virtual_kitti","hypersim,virtual_kitti",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_training_datasets_ask_baseline_none_a1402bdb8781.json
qa_v1_chunk_depthdark_training_datasets_ask_baseline_none_d42650c2acb7,qa_v1_chunk_depthdark_training_datasets,depthdark_training_datasets,chunk,baseline,1500,50,1482,50,17,0.0,0.0,0.0,1.0,1.0,0.08,0.17647058823529413,0.0,,"hypersim,virtual_kitti","hypersim,virtual_kitti",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_chunk_depthdark_training_datasets_ask_baseline_none_d42650c2acb7.json
qa_v1_proposition_always_clear_depth_ablation_co_ask_baseline_none_0cad975fd744,qa_v1_proposition_always_clear_depth_ablation_components,always_clear_depth_ablation_components,proposition,baseline,1500,50,1042,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_always_clear_depth_ablation_co_ask_baseline_none_0cad975fd744.json
qa_v1_proposition_always_clear_depth_ablation_co_ask_baseline_none_3d2b2708b4fc,qa_v1_proposition_always_clear_depth_ablation_components,always_clear_depth_ablation_components,proposition,baseline,500,50,496,50,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_always_clear_depth_ablation_co_ask_baseline_none_3d2b2708b4fc.json
qa_v1_proposition_always_clear_depth_ablation_co_ask_baseline_none_fba6f4991846,qa_v1_proposition_always_clear_depth_ablation_components,always_clear_depth_ablation_components,proposition,baseline,1000,50,1000,50,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_always_clear_depth_ablation_co_ask_baseline_none_fba6f4991846.json
qa_v1_proposition_always_clear_depth_contributio_ask_baseline_none_233887d80ef3,qa_v1_proposition_always_clear_depth_contributions,always_clear_depth_contributions,proposition,baseline,500,50,482,50,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_always_clear_depth_contributio_ask_baseline_none_233887d80ef3.json
qa_v1_proposition_always_clear_depth_contributio_ask_baseline_none_4377ec55c559,qa_v1_proposition_always_clear_depth_contributions,always_clear_depth_contributions,proposition,baseline,1000,50,986,50,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_always_clear_depth_contributio_ask_baseline_none_4377ec55c559.json
qa_v1_proposition_always_clear_depth_contributio_ask_baseline_none_4893aa4a90ed,qa_v1_proposition_always_clear_depth_contributions,always_clear_depth_contributions,proposition,baseline,1500,50,1133,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_always_clear_depth_contributio_ask_baseline_none_4893aa4a90ed.json
qa_v1_proposition_always_clear_depth_eval_datase_ask_baseline_none_0ada5a144498,qa_v1_proposition_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,proposition,baseline,500,50,483,50,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_always_clear_depth_eval_datase_ask_baseline_none_0ada5a144498.json
qa_v1_proposition_always_clear_depth_eval_datase_ask_baseline_none_2a281a535c89,qa_v1_proposition_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,proposition,baseline,1500,50,1050,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_always_clear_depth_eval_datase_ask_baseline_none_2a281a535c89.json
qa_v1_proposition_always_clear_depth_eval_datase_ask_baseline_none_9981936d21b4,qa_v1_proposition_always_clear_depth_eval_datasets,always_clear_depth_eval_datasets,proposition,baseline,1000,50,987,50,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_always_clear_depth_eval_datase_ask_baseline_none_9981936d21b4.json
qa_v1_proposition_always_clear_depth_sota_compar_ask_baseline_none_1c1a56edcd43,qa_v1_proposition_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,proposition,baseline,500,50,500,50,17,0.0,0.0,0.0,0.3333333333333333,0.0,0.04,0.0,0.0,,"dmmde,md4all_dd,monodepth2",,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_always_clear_depth_sota_compar_ask_baseline_none_1c1a56edcd43.json
qa_v1_proposition_always_clear_depth_sota_compar_ask_baseline_none_5b35d9f9bcdf,qa_v1_proposition_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,proposition,baseline,1500,50,1500,50,27,1.0,0.2222222222222222,0.3636363636363636,0.3333333333333333,0.3333333333333333,0.04,0.07407407407407407,0.2424242424242424,"dmmde,md4all_dd","dmmde,md4all_dd,monodepth2","dmmde,md4all_dd,monodepth2",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_always_clear_depth_sota_compar_ask_baseline_none_5b35d9f9bcdf.json
qa_v1_proposition_always_clear_depth_sota_compar_ask_baseline_none_707a5afb3945,qa_v1_proposition_always_clear_depth_sota_comparison_methods,always_clear_depth_sota_comparison_methods,proposition,baseline,1000,50,995,50,24,0.0,0.0,0.0,0.3333333333333333,0.0,0.04,0.0,0.0,,"dmmde,md4all_dd,monodepth2",,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_always_clear_depth_sota_compar_ask_baseline_none_707a5afb3945.json
qa_v1_proposition_depthdark_ablation_components_ask_baseline_none_2eda54f09adb,qa_v1_proposition_depthdark_ablation_components,depthdark_ablation_components,proposition,baseline,1000,50,996,50,40,1.0,0.5,0.6666666666666666,0.5,0.5,0.02,0.025,0.6693440428380187,lldg,lldg,lldg,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_ablation_components_ask_baseline_none_2eda54f09adb.json
qa_v1_proposition_depthdark_ablation_components_ask_baseline_none_f5f095a6be88,qa_v1_proposition_depthdark_ablation_components,depthdark_ablation_components,proposition,baseline,1500,50,1159,50,50,0.0,0.0,0.0,0.5,0.5,0.02,0.02,0.0,,lldg,lldg,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_ablation_components_ask_baseline_none_f5f095a6be88.json
qa_v1_proposition_depthdark_ablation_components_ask_baseline_none_f8c73535f7d3,qa_v1_proposition_depthdark_ablation_components,depthdark_ablation_components,proposition,baseline,500,50,499,50,24,0.0,0.0,0.0,0.5,0.0,0.02,0.0,0.0,,lldg,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_ablation_components_ask_baseline_none_f8c73535f7d3.json
qa_v1_proposition_depthdark_contributions_ask_baseline_none_13cd7ab4bdd8,qa_v1_proposition_depthdark_contributions,depthdark_contributions,proposition,baseline,1500,50,1499,50,40,1.0,0.14285714285714285,0.25,0.14285714285714285,0.14285714285714285,0.56,0.625,0.1667778519012675,depthdark_model,depthdark_model,depthdark_model,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_contributions_ask_baseline_none_13cd7ab4bdd8.json
qa_v1_proposition_depthdark_contributions_ask_baseline_none_2aedba198204,qa_v1_proposition_depthdark_contributions,depthdark_contributions,proposition,baseline,500,50,498,50,27,1.0,0.14285714285714285,0.25,0.14285714285714285,0.14285714285714285,0.56,0.7407407407407407,0.502008032128514,depthdark_model,depthdark_model,depthdark_model,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_contributions_ask_baseline_none_2aedba198204.json
qa_v1_proposition_depthdark_contributions_ask_baseline_none_51955e7c0f6d,qa_v1_proposition_depthdark_contributions,depthdark_contributions,proposition,baseline,1000,50,998,50,31,1.0,0.14285714285714285,0.25,0.14285714285714285,0.14285714285714285,0.56,0.6774193548387096,0.250501002004008,depthdark_model,depthdark_model,depthdark_model,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_contributions_ask_baseline_none_51955e7c0f6d.json
qa_v1_proposition_depthdark_eval_datasets_ask_baseline_none_69d09137b66a,qa_v1_proposition_depthdark_eval_datasets,depthdark_eval_datasets,proposition,baseline,1000,50,997,50,34,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,,"nuscenes_night,robotcar_night",,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_eval_datasets_ask_baseline_none_69d09137b66a.json
qa_v1_proposition_depthdark_eval_datasets_ask_baseline_none_7e6f57387838,qa_v1_proposition_depthdark_eval_datasets,depthdark_eval_datasets,proposition,baseline,500,50,498,50,27,0.0,0.0,0.0,1.0,0.0,0.04,0.0,0.0,,"nuscenes_night,robotcar_night",,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_eval_datasets_ask_baseline_none_7e6f57387838.json
qa_v1_proposition_depthdark_eval_datasets_ask_baseline_none_c2473ec36e5b,qa_v1_proposition_depthdark_eval_datasets,depthdark_eval_datasets,proposition,baseline,1500,50,1498,50,47,0.5,1.0,0.6666666666666666,1.0,1.0,0.04,0.0425531914893617,0.4450378282153983,"nuscenes_night,robotcar_night","nuscenes_night,robotcar_night","nuscenes_night,robotcar_night",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_eval_datasets_ask_baseline_none_c2473ec36e5b.json
qa_v1_proposition_depthdark_sota_comparison_meth_ask_baseline_none_4f1f5eedeb3d,qa_v1_proposition_depthdark_sota_comparison_methods,depthdark_sota_comparison_methods,proposition,baseline,1000,50,999,50,38,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.06,0.05263157894736842,0.333667000333667,"depth_anything,depth_anything_v2","depth_anything,depth_anything_v2","depth_anything,depth_anything_v2",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_sota_comparison_meth_ask_baseline_none_4f1f5eedeb3d.json
qa_v1_proposition_depthdark_sota_comparison_meth_ask_baseline_none_ca2973f1e25b,qa_v1_proposition_depthdark_sota_comparison_methods,depthdark_sota_comparison_methods,proposition,baseline,500,50,500,50,34,0.0,0.0,0.0,0.2222222222222222,0.0,0.06,0.0,0.0,,"depth_anything,depth_anything_v2",,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_sota_comparison_meth_ask_baseline_none_ca2973f1e25b.json
qa_v1_proposition_depthdark_sota_comparison_meth_ask_baseline_none_d0262f5122e9,qa_v1_proposition_depthdark_sota_comparison_methods,depthdark_sota_comparison_methods,proposition,baseline,1500,50,1320,50,50,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.06,0.06,0.25252525252525254,"depth_anything,depth_anything_v2","depth_anything,depth_anything_v2","depth_anything,depth_anything_v2",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_sota_comparison_meth_ask_baseline_none_d0262f5122e9.json
qa_v1_proposition_depthdark_training_datasets_ask_baseline_none_13d07f50e787,qa_v1_proposition_depthdark_training_datasets,depthdark_training_datasets,proposition,baseline,1500,50,1392,50,49,0.0,0.0,0.0,1.0,1.0,0.06,0.061224489795918366,0.0,,"hypersim,virtual_kitti","hypersim,virtual_kitti",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_training_datasets_ask_baseline_none_13d07f50e787.json
qa_v1_proposition_depthdark_training_datasets_ask_baseline_none_7a3c23890b6c,qa_v1_proposition_depthdark_training_datasets,depthdark_training_datasets,proposition,baseline,500,50,500,50,27,0.0,0.0,0.0,1.0,0.0,0.06,0.0,0.0,,"hypersim,virtual_kitti",,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_training_datasets_ask_baseline_none_7a3c23890b6c.json
qa_v1_proposition_depthdark_training_datasets_ask_baseline_none_a4e5c3a9c9db,qa_v1_proposition_depthdark_training_datasets,depthdark_training_datasets,proposition,baseline,1000,50,998,50,33,0.0,0.0,0.0,1.0,1.0,0.06,0.030303030303030304,0.0,,"hypersim,virtual_kitti","hypersim,virtual_kitti",E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_proposition_depthdark_training_datasets_ask_baseline_none_a4e5c3a9c9db.json
qa_v1_sentence_always_clear_depth_ablation_compo_ask_baseline_none_2fc23b6b2b0e,qa_v1_sentence_always_clear_depth_ablation_components,always_clear_depth_ablation_components,sentence,baseline,500,50,500,50,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_sentence_always_clear_depth_ablation_compo_ask_baseline_none_2fc23b6b2b0e.json
qa_v1_sentence_always_clear_depth_ablation_compo_ask_baseline_none_960d3236fdcb,qa_v1_sentence_always_clear_depth_ablation_components,always_clear_depth_ablation_components,sentence,baseline,1500,50,1237,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_sentence_always_clear_depth_ablation_compo_ask_baseline_none_960d3236fdcb.json
qa_v1_sentence_always_clear_depth_ablation_compo_ask_baseline_none_c8d5ff27e223,qa_v1_sentence_always_clear_depth_ablation_components,always_clear_depth_ablation_components,sentence,baseline,1000,50,999,50,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_sentence_always_clear_depth_ablation_compo_ask_baseline_none_c8d5ff27e223.json
qa_v1_sentence_always_clear_depth_contributions_ask_baseline_none_210538394137,qa_v1_sentence_always_clear_depth_contributions,always_clear_depth_contributions,sentence,baseline,1000,50,1000,50,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_sentence_always_clear_depth_contributions_ask_baseline_none_210538394137.json
qa_v1_sentence_always_clear_depth_contributions_ask_baseline_none_5a5f87855704,qa_v1_sentence_always_clear_depth_contributions,always_clear_depth_contributions,sentence,baseline,500,50,498,50,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_sentence_always_clear_depth_contributions_ask_baseline_none_5a5f87855704.json
qa_v1_sentence_always_clear_depth_contributions_ask_baseline_none_f20922446c60,qa_v1_sentence_always_clear_depth_contributions,always_clear_depth_contributions,sentence,baseline,1500,50,1126,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,E:\PycharmProject\ResearchAgent\experiments\runs\qa_v1_sentence_always_clear_depth_contributions_ask_baseline_none_f20922446c60.json
