experiment,run_label,query,metric,value,notes,prompt_tokens,completion_tokens,total_tokens,context_tokens,original_context_tokens,compression,compression_stage,compression_ratio,selected_chunk_count,retrieved_chunk_count,context_utilization,invalid_citation_count,top_k,budget,strategy,run_id,details_path,model
ask_baseline,,关于弱光求深度的论文,citation_count,22,context_utilization=0.550,5215,894,6109,4994,,,,,20,20,0.55,,20,5000,baseline,ask_baseline_5646357779db,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_5646357779db.json,MiniMax-M2.7
ask_dynamic,,关于弱光求深度的论文,citation_count,10,context_utilization=1.000,658,641,1299,529,,,,,3,20,1.0,,20,600,dynamic,ask_dynamic_9dd7899b51f1,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_9dd7899b51f1.json,MiniMax-M2.7
ask_rerank,,关于弱光求深度的论文,citation_count,6,context_utilization=1.000,637,738,1375,524,,,,,2,20,1.0,,20,600,rerank,ask_rerank_8176f19c443f,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_8176f19c443f.json,MiniMax-M2.7
ask_rerank,,关于弱光求深度的论文,citation_count,8,context_utilization=1.000,1059,577,1636,935,,,,,3,20,1.0,,20,1000,rerank,ask_rerank_e387c51794a4,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_e387c51794a4.json,MiniMax-M2.7
ask_dynamic,,关于弱光求深度的论文,citation_count,16,context_utilization=1.000,1056,664,1720,894,,,,,5,20,1.0,,20,1000,dynamic,ask_dynamic_3e2bebf2d8ff,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_3e2bebf2d8ff.json,MiniMax-M2.7
ask_dynamic,,关于弱光求深度的论文,citation_count,9,context_utilization=0.667,1634,372,2006,1465,,,,,6,20,0.6666666666666666,,20,1500,dynamic,ask_dynamic_d52979c4ceea,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_d52979c4ceea.json,MiniMax-M2.7
ask_dynamic,,关于弱光求深度的论文,citation_count,22,context_utilization=1.000,2042,1024,3066,1879,,,,,8,20,1.0,,20,2000,dynamic,ask_dynamic_f3ea551882a5,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_f3ea551882a5.json,MiniMax-M2.7
ask_dynamic,,关于弱光求深度的论文,citation_count,8,context_utilization=0.625,2044,805,2849,1879,,,,,8,20,0.625,,20,2000,dynamic,ask_dynamic_9b29ad279708,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_9b29ad279708.json,MiniMax-M2.7
ask_rerank,,关于弱光求深度的论文,citation_count,25,context_utilization=1.000,2142,832,2974,1978,,,,,8,20,1.0,,20,2000,rerank,ask_rerank_408b51f8d98f,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_408b51f8d98f.json,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,17,context_utilization=0.250,5129,755,5884,4742,,,,,20,20,0.25,3,20,5000,baseline,ask_baseline_eefe395fd323,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_eefe395fd323.json,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,3,context_utilization=0.200,2209,725,2934,1943,,,,,10,20,0.2,0,20,2000,baseline,ask_baseline_63be1d0ffec2,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_63be1d0ffec2.json,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,8,context_utilization=0.200,5129,683,5812,4742,,,,,20,20,0.2,0,20,10000,baseline,ask_baseline_3173bb822721,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_3173bb822721.json,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,22,context_utilization=0.189,10624,775,11399,9977,,,,,37,40,0.1891891891891892,9,40,10000,baseline,ask_baseline_c7f59c38e4fd,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_c7f59c38e4fd.json,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,11,context_utilization=0.110,21342,838,22180,19993,,,,,82,90,0.10975609756097561,0,90,20000,baseline,ask_baseline_36258b9370d0,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_36258b9370d0.json,MiniMax-M2.7
ask_dynamic,,关于弱光求深度的论文,citation_count,9,context_utilization=0.098,21210,897,22107,19968,,,,,82,90,0.0975609756097561,0,90,20000,dynamic,ask_dynamic_a88e8a7efe86,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_a88e8a7efe86.json,MiniMax-M2.7
ask_baseline,,关于弱光求深度的论文,citation_count,16,context_utilization=0.122,21342,680,22022,19993,,,,,82,90,0.12195121951219512,0,90,20000,baseline,ask_baseline_3781e4a2bc5c,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_3781e4a2bc5c.json,MiniMax-M2.7
ask_rerank,,关于弱光求深度的论文,citation_count,54,context_utilization=0.649,21158,1024,22182,19972,,,,,77,90,0.6493506493506493,0,90,20000,rerank,ask_rerank_54e7fb903275,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_54e7fb903275.json,MiniMax-M2.7
ask_rerank,,关于弱光求深度的论文,citation_count,6,context_utilization=0.083,17246,943,18189,16262,,,,,60,60,0.08333333333333333,0,60,20000,rerank,ask_rerank_79547db51009,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_79547db51009.json,MiniMax-M2.7
ask_rerank,,关于弱光求深度的论文,citation_count,78,context_utilization=0.686,19846,954,20800,18712,,,,,70,70,0.6857142857142857,0,70,20000,rerank,ask_rerank_e837d846c2fa,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_e837d846c2fa.json,MiniMax-M2.7
ask_rerank,,关于弱光求深度的论文,citation_count,25,context_utilization=0.750,1401,639,2040,985,,,,,16,70,0.75,0,70,1000,rerank,ask_rerank_9c1572436019,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_9c1572436019.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,4,context_utilization=1.000,437,522,959,290,290,none,,1.0,3,50,1.0,0,50,300,baseline,ask_baseline_none_97d692d6355c,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_97d692d6355c.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,15,context_utilization=1.000,671,616,1287,498,498,none,,1.0,5,50,1.0,0,50,500,baseline,ask_baseline_none_8a146a974d8c,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_8a146a974d8c.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,43,context_utilization=1.000,1026,1024,2050,789,789,none,,1.0,9,50,1.0,0,50,800,baseline,ask_baseline_none_9207245d81f5,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_9207245d81f5.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,36,context_utilization=1.000,1258,990,2248,990,990,none,,1.0,11,50,1.0,0,50,1000,baseline,ask_baseline_none_137a7fe4ffd7,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_137a7fe4ffd7.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,9,context_utilization=0.200,1828,666,2494,1488,1488,none,,1.0,15,50,0.2,0,50,1500,baseline,ask_baseline_none_904e6afbbb87,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_904e6afbbb87.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,39,context_utilization=1.000,2394,1024,3418,1959,1959,none,,1.0,20,50,1.0,0,50,2000,baseline,ask_baseline_none_e1a702e422e9,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_e1a702e422e9.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,13,context_utilization=0.281,3657,1024,4681,2999,2999,none,,1.0,32,50,0.28125,0,50,3000,baseline,ask_baseline_none_6f9449a9ea16,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_6f9449a9ea16.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,46,context_utilization=0.571,5770,903,6673,4853,4853,none,,1.0,49,50,0.5714285714285714,0,50,5000,baseline,ask_baseline_none_67b9bc68380f,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_67b9bc68380f.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,3,context_utilization=1.000,322,553,875,169,290,llmlingua2,,0.5827586206896552,3,50,1.0,0,50,300,baseline,ask_baseline_llmlingua2_9102af3ec2bf,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_9102af3ec2bf.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,13,context_utilization=1.000,475,583,1058,296,498,llmlingua2,,0.5943775100401606,5,50,1.0,0,50,500,baseline,ask_baseline_llmlingua2_d8a69833dfe3,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_d8a69833dfe3.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,11,context_utilization=1.000,711,456,1167,468,789,llmlingua2,,0.5931558935361216,9,50,1.0,0,50,800,baseline,ask_baseline_llmlingua2_36417d1ea227,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_36417d1ea227.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,3,context_utilization=0.273,849,479,1328,571,990,llmlingua2,,0.5767676767676768,11,50,0.2727272727272727,0,50,1000,baseline,ask_baseline_llmlingua2_e4464c99f929,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_e4464c99f929.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,39,context_utilization=1.000,1216,807,2023,867,1488,llmlingua2,,0.5826612903225806,15,50,1.0,0,50,1500,baseline,ask_baseline_llmlingua2_f70d72603385,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_f70d72603385.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,17,context_utilization=0.650,1565,1024,2589,1125,1959,llmlingua2,,0.5742725880551302,20,50,0.65,0,50,2000,baseline,ask_baseline_llmlingua2_8a0efa2411ea,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_8a0efa2411ea.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,9,context_utilization=0.281,2337,867,3204,1657,2999,llmlingua2,,0.5525175058352785,32,50,0.28125,0,50,3000,baseline,ask_baseline_llmlingua2_64214b2eaa13,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_64214b2eaa13.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,50,context_utilization=0.510,3601,745,4346,2651,4853,llmlingua2,,0.5462600453327838,49,50,0.5102040816326531,0,50,5000,baseline,ask_baseline_llmlingua2_b465bac624fa,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_llmlingua2_b465bac624fa.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,9,context_utilization=1.000,309,511,820,128,272,llmlingua2,,0.47058823529411764,5,50,1.0,0,50,300,dynamic,ask_dynamic_llmlingua2_ff20000e9cd1,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_llmlingua2_ff20000e9cd1.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,12,context_utilization=0.571,471,669,1140,248,489,llmlingua2,,0.5071574642126789,7,50,0.5714285714285714,0,50,500,dynamic,ask_dynamic_llmlingua2_d3238c710cb5,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_llmlingua2_d3238c710cb5.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,17,context_utilization=1.000,657,605,1262,381,763,llmlingua2,,0.49934469200524245,10,50,1.0,0,50,800,dynamic,ask_dynamic_llmlingua2_54b991e920d9,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_llmlingua2_54b991e920d9.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,25,context_utilization=1.000,817,729,1546,493,955,llmlingua2,,0.5162303664921466,12,50,1.0,0,50,1000,dynamic,ask_dynamic_llmlingua2_cd620ba3e37a,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_llmlingua2_cd620ba3e37a.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,18,context_utilization=0.278,1190,459,1649,755,1495,llmlingua2,,0.5050167224080268,18,50,0.2777777777777778,0,50,1500,dynamic,ask_dynamic_llmlingua2_203e09933fe7,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_llmlingua2_203e09933fe7.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,8,context_utilization=0.182,1552,776,2328,1040,1956,llmlingua2,,0.5316973415132924,22,50,0.18181818181818182,0,50,2000,dynamic,ask_dynamic_llmlingua2_da0a9f43dbda,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_llmlingua2_da0a9f43dbda.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,30,context_utilization=0.406,2304,842,3146,1621,2978,llmlingua2,,0.5443250503693754,32,50,0.40625,0,50,3000,dynamic,ask_dynamic_llmlingua2_a9971f23150a,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_llmlingua2_a9971f23150a.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,48,context_utilization=0.918,3649,1024,4673,2695,4921,llmlingua2,,0.5476529160739687,49,50,0.9183673469387755,0,50,5000,dynamic,ask_dynamic_llmlingua2_65db7ffef21a,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_llmlingua2_65db7ffef21a.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,27,context_utilization=1.000,296,1024,1320,140,297,llmlingua2,,0.4713804713804714,4,50,1.0,0,50,300,rerank,ask_rerank_llmlingua2_acfdebf91903,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_llmlingua2_acfdebf91903.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,7,context_utilization=0.333,462,552,1014,257,493,llmlingua2,,0.5212981744421906,6,50,0.3333333333333333,0,50,500,rerank,ask_rerank_llmlingua2_4014aa476de2,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_llmlingua2_4014aa476de2.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,22,context_utilization=1.000,725,934,1659,452,799,llmlingua2,,0.5657071339173968,10,50,1.0,0,50,800,rerank,ask_rerank_llmlingua2_e790a9c9c698,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_llmlingua2_e790a9c9c698.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,12,context_utilization=0.545,828,405,1233,535,951,llmlingua2,,0.562565720294427,11,50,0.5454545454545454,0,50,1000,rerank,ask_rerank_llmlingua2_48ee70c81ae2,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_llmlingua2_48ee70c81ae2.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,20,context_utilization=0.353,1229,810,2039,815,1475,llmlingua2,,0.5525423728813559,17,50,0.35294117647058826,0,50,1500,rerank,ask_rerank_llmlingua2_5bb01be7ca08,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_llmlingua2_5bb01be7ca08.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,35,context_utilization=0.913,1619,681,2300,1079,1991,llmlingua2,,0.5419387242591662,23,50,0.9130434782608695,0,50,2000,rerank,ask_rerank_llmlingua2_c3143c8ac79d,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_llmlingua2_c3143c8ac79d.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,38,context_utilization=0.364,2324,869,3193,1634,2994,llmlingua2,,0.5457581830327322,33,50,0.36363636363636365,0,50,3000,rerank,ask_rerank_llmlingua2_f903baf51a4d,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_llmlingua2_f903baf51a4d.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,36,context_utilization=0.449,3647,727,4374,2695,4924,llmlingua2,,0.5473192526401299,49,50,0.4489795918367347,0,50,5000,rerank,ask_rerank_llmlingua2_45059edc78e3,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_llmlingua2_45059edc78e3.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,3,context_utilization=1.000,446,360,806,290,290,none,,1.0,3,50,1.0,0,50,300,baseline,ask_baseline_none_02d326bd05e0,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_02d326bd05e0.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,5,context_utilization=1.000,682,445,1127,498,498,none,,1.0,5,50,1.0,0,50,500,baseline,ask_baseline_none_325ec5244bd9,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_325ec5244bd9.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,12,context_utilization=1.000,1036,1024,2060,789,789,none,,1.0,9,50,1.0,0,50,800,baseline,ask_baseline_none_ace405a4b203,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_ace405a4b203.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,31,context_utilization=1.000,1270,1024,2294,990,990,none,,1.0,11,50,1.0,0,50,1000,baseline,ask_baseline_none_a6a69484caf7,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_a6a69484caf7.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,16,context_utilization=0.800,1839,557,2396,1488,1488,none,,1.0,15,50,0.8,0,50,1500,baseline,ask_baseline_none_e78583318b8a,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_e78583318b8a.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,32,context_utilization=1.000,2405,758,3163,1959,1959,none,,1.0,20,50,1.0,0,50,2000,baseline,ask_baseline_none_41a744848e2c,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_41a744848e2c.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,21,context_utilization=0.312,3668,672,4340,2999,2999,none,,1.0,32,50,0.3125,0,50,3000,baseline,ask_baseline_none_eaddc4e54369,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_eaddc4e54369.json,MiniMax-M2.7
ask_baseline,,有哪些是实现了弱光下求深度的论文,citation_count,41,context_utilization=0.571,5780,841,6621,4853,4853,none,,1.0,49,50,0.5714285714285714,0,50,5000,baseline,ask_baseline_none_8c86f8e52666,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_baseline_none_8c86f8e52666.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,19,context_utilization=1.000,463,1024,1487,272,272,none,,1.0,5,50,1.0,1,50,300,dynamic,ask_dynamic_none_e860b8d258cc,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_none_e860b8d258cc.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,27,context_utilization=1.000,722,914,1636,489,489,none,,1.0,7,50,1.0,0,50,500,dynamic,ask_dynamic_none_46396cf7f0da,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_none_46396cf7f0da.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,27,context_utilization=1.000,1045,664,1709,763,763,none,,1.0,10,50,1.0,0,50,800,dynamic,ask_dynamic_none_02484eddb5d5,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_none_02484eddb5d5.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,33,context_utilization=1.000,1278,1024,2302,955,955,none,,1.0,12,50,1.0,0,50,1000,dynamic,ask_dynamic_none_65f18fbce50f,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_none_65f18fbce50f.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,12,context_utilization=0.556,1921,366,2287,1495,1495,none,,1.0,18,50,0.5555555555555556,0,50,1500,dynamic,ask_dynamic_none_67faf8e68674,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_none_67faf8e68674.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,6,context_utilization=0.136,2460,556,3016,1956,1956,none,,1.0,22,50,0.13636363636363635,0,50,2000,dynamic,ask_dynamic_none_dc4e6492d578,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_none_dc4e6492d578.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,38,context_utilization=0.938,3659,790,4449,2978,2978,none,,1.0,32,50,0.9375,0,50,3000,dynamic,ask_dynamic_none_1882111618b8,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_none_1882111618b8.json,MiniMax-M2.7
ask_dynamic,,有哪些是实现了弱光下求深度的论文,citation_count,8,context_utilization=0.102,5855,771,6626,4921,4921,none,,1.0,49,50,0.10204081632653061,0,50,5000,dynamic,ask_dynamic_none_2664028b5155,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_dynamic_none_2664028b5155.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,30,context_utilization=1.000,459,987,1446,297,297,none,,1.0,4,50,1.0,0,50,300,rerank,ask_rerank_none_fd77295b3dec,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_none_fd77295b3dec.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,13,context_utilization=1.000,703,457,1160,493,493,none,,1.0,6,50,1.0,0,50,500,rerank,ask_rerank_none_dfd1f8456533,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_none_dfd1f8456533.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,11,context_utilization=0.800,1076,602,1678,799,799,none,,1.0,10,50,0.8,0,50,800,rerank,ask_rerank_none_ca26c517fa2e,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_none_ca26c517fa2e.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,25,context_utilization=0.818,1246,560,1806,951,951,none,,1.0,11,50,0.8181818181818182,0,50,1000,rerank,ask_rerank_none_d3022313c634,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_none_d3022313c634.json,MiniMax-M2.7
ask_rerank,,有哪些是实现了弱光下求深度的论文,citation_count,26,context_utilization=1.000,1891,620,2511,1475,1475,none,,1.0,17,50,1.0,0,50,1500,rerank,ask_rerank_none_7eb501f8f3c1,/Users/zhouhexin/PycharmProjects/ResearchAgent/experiments/runs/ask_rerank_none_7eb501f8f3c1.json,MiniMax-M2.7
